interpreter,interpret,0.058
interpreter,interpret,0.061
interpreter,interpret,0.057
interpreter,interpret,0.058
interpreter,interpret,0.05
interpreter,interpret,0.059
interpreter,interpret,0.058
interpreter,interpret,0.058
interpreter,interpret,0.058
interpreter,interpret,0.057
icarus-verilog,compile_with_iverilog,0.089
icarus-verilog,simulate,0.272
icarus-verilog,compile_with_iverilog,0.09
icarus-verilog,simulate,0.269
icarus-verilog,compile_with_iverilog,0.089
icarus-verilog,simulate,0.274
icarus-verilog,compile_with_iverilog,0.088
icarus-verilog,simulate,0.268
icarus-verilog,compile_with_iverilog,0.09
icarus-verilog,simulate,0.27
icarus-verilog,compile_with_iverilog,0.092
icarus-verilog,simulate,0.268
icarus-verilog,compile_with_iverilog,0.09
icarus-verilog,simulate,0.268
icarus-verilog,compile_with_iverilog,0.092
icarus-verilog,simulate,0.269
icarus-verilog,compile_with_iverilog,0.089
icarus-verilog,simulate,0.269
icarus-verilog,compile_with_iverilog,0.089
icarus-verilog,simulate,0.272
verilog,compile_with_verilator,7.633
verilog,simulate,0.028
verilog,compile_with_verilator,5.449
verilog,simulate,0.028
verilog,compile_with_verilator,5.367
verilog,simulate,0.028
verilog,compile_with_verilator,5.396
verilog,simulate,0.029
verilog,compile_with_verilator,5.315
verilog,simulate,0.028
verilog,compile_with_verilator,5.278
verilog,simulate,0.028
verilog,compile_with_verilator,5.359
verilog,simulate,0.032
verilog,compile_with_verilator,5.403
verilog,simulate,0.03
verilog,compile_with_verilator,5.393
verilog,simulate,0.029
verilog,compile_with_verilator,5.314
verilog,simulate,0.029
interpreter,interpret,0.057
interpreter,interpret,0.057
interpreter,interpret,0.056
interpreter,interpret,0.056
interpreter,interpret,0.057
interpreter,interpret,0.058
interpreter,interpret,0.059
interpreter,interpret,0.059
interpreter,interpret,0.057
interpreter,interpret,0.058
icarus-verilog,compile_with_iverilog,0.09
icarus-verilog,simulate,0.277
icarus-verilog,compile_with_iverilog,0.091
icarus-verilog,simulate,0.263
icarus-verilog,compile_with_iverilog,0.09
icarus-verilog,simulate,0.272
icarus-verilog,compile_with_iverilog,0.091
icarus-verilog,simulate,0.268
icarus-verilog,compile_with_iverilog,0.091
icarus-verilog,simulate,0.269
icarus-verilog,compile_with_iverilog,0.093
icarus-verilog,simulate,0.267
icarus-verilog,compile_with_iverilog,0.092
icarus-verilog,simulate,0.269
icarus-verilog,compile_with_iverilog,0.092
icarus-verilog,simulate,0.269
icarus-verilog,compile_with_iverilog,0.093
icarus-verilog,simulate,0.269
icarus-verilog,compile_with_iverilog,0.091
icarus-verilog,simulate,0.268
verilog,compile_with_verilator,5.293
verilog,simulate,0.029
verilog,compile_with_verilator,5.33
verilog,simulate,0.029
verilog,compile_with_verilator,5.378
verilog,simulate,0.03
verilog,compile_with_verilator,5.386
verilog,simulate,0.03
verilog,compile_with_verilator,5.375
verilog,simulate,0.03
verilog,compile_with_verilator,5.333
verilog,simulate,0.03
verilog,compile_with_verilator,5.374
verilog,simulate,0.029
verilog,compile_with_verilator,5.339
verilog,simulate,0.029
verilog,compile_with_verilator,5.407
verilog,simulate,0.029
verilog,compile_with_verilator,5.387
verilog,simulate,0.029
