simulation-fully-lowered,stage,mean,median,stddev
NTT 32,interpreter,1.621,1.621,0.018
NTT 64,interpreter,15.595,15.637,0.198
TCAM 32,interpreter,9.653,9.681,0.123
TCAM 64,interpreter,19.056,18.954,0.247
Linear Algebra 2MM,interpreter,5.763,5.722,0.106
Linear Algebra 3MM,interpreter,3.695,3.68,0.058
Linear Algebra ATAX,interpreter,0.551,0.55,0.003
Linear Algebra BICG,interpreter,0.181,0.181,0.001
Linear Algebra DOITGEN,interpreter,5.594,5.597,0.017
Linear Algebra DURBIN,interpreter,0.24,0.24,0.002
Linear Algebra GEMM,interpreter,2.213,2.21,0.012
Linear Algebra GEMVER,interpreter,3.0,2.992,0.025
Linear Algebra GESUMMV,interpreter,1.098,1.075,0.036
Linear Algebra LU,interpreter,0.377,0.374,0.008
Linear Algebra LUDCMP,interpreter,0.985,0.984,0.006
Linear Algebra MVT,interpreter,0.549,0.548,0.005
Linear Algebra SYMM,interpreter,2.276,2.268,0.037
Linear Algebra SYR2K,interpreter,4.733,4.72,0.046
Linear Algebra SYRK,interpreter,2.065,2.067,0.01
Linear Algebra TRISOLV,interpreter,0.063,0.062,0.001
Linear Algebra TRMM,interpreter,0.609,0.606,0.005
