simulation,stage,mean,median,stddev
NTT 32,interpreter,0.04,0.042,0.005
NTT 32,icarus-verilog,1.273,1.272,0.005
NTT 32,verilog,0.031,0.031,0.001
NTT 64,interpreter,0.079,0.079,0.001
NTT 64,icarus-verilog,5.572,5.567,0.016
NTT 64,verilog,0.087,0.087,0.001
TCAM 32,interpreter,0.292,0.292,0.004
TCAM 32,icarus-verilog,1.859,1.856,0.02
TCAM 32,verilog,0.037,0.037,0.006
TCAM 64,interpreter,0.552,0.552,0.007
TCAM 64,icarus-verilog,3.07,3.083,0.042
TCAM 64,verilog,0.06,0.063,0.005
Linear Algebra 2MM,interpreter,0.165,0.164,0.003
Linear Algebra 2MM,icarus-verilog,0.908,0.906,0.013
Linear Algebra 2MM,verilog,0.047,0.047,0.001
Linear Algebra 3MM,interpreter,0.175,0.175,0.003
Linear Algebra 3MM,icarus-verilog,0.692,0.693,0.007
Linear Algebra 3MM,verilog,0.037,0.037,0.001
Linear Algebra ATAX,interpreter,0.041,0.04,0.002
Linear Algebra ATAX,icarus-verilog,0.13,0.131,0.004
Linear Algebra ATAX,verilog,0.022,0.021,0.001
Linear Algebra BICG,interpreter,0.032,0.03,0.002
Linear Algebra BICG,icarus-verilog,0.062,0.064,0.005
Linear Algebra BICG,verilog,0.014,0.014,0.0
Linear Algebra DOITGEN,interpreter,0.445,0.444,0.005
Linear Algebra DOITGEN,icarus-verilog,1.108,1.109,0.006
Linear Algebra DOITGEN,verilog,0.044,0.044,0.001
Linear Algebra DURBIN,interpreter,0.028,0.028,0.001
Linear Algebra DURBIN,icarus-verilog,0.083,0.085,0.005
Linear Algebra DURBIN,verilog,0.016,0.016,0.0
Linear Algebra GEMM,interpreter,0.099,0.099,0.001
Linear Algebra GEMM,icarus-verilog,0.367,0.368,0.006
Linear Algebra GEMM,verilog,0.032,0.032,0.0
Linear Algebra GEMVER,interpreter,0.062,0.059,0.005
Linear Algebra GEMVER,icarus-verilog,0.396,0.396,0.003
Linear Algebra GEMVER,verilog,0.038,0.038,0.001
Linear Algebra GESUMMV,interpreter,0.052,0.052,0.001
Linear Algebra GESUMMV,icarus-verilog,0.212,0.212,0.002
Linear Algebra GESUMMV,verilog,0.028,0.028,0.001
Linear Algebra LU,interpreter,0.04,0.04,0.002
Linear Algebra LU,icarus-verilog,0.116,0.116,0.001
Linear Algebra LU,verilog,0.019,0.019,0.001
Linear Algebra LUDCMP,interpreter,0.046,0.046,0.003
Linear Algebra LUDCMP,icarus-verilog,0.231,0.232,0.005
Linear Algebra LUDCMP,verilog,0.027,0.027,0.001
Linear Algebra MVT,interpreter,0.036,0.036,0.001
Linear Algebra MVT,icarus-verilog,0.134,0.136,0.005
Linear Algebra MVT,verilog,0.021,0.021,0.0
Linear Algebra SYMM,interpreter,0.111,0.111,0.001
Linear Algebra SYMM,icarus-verilog,0.383,0.384,0.005
Linear Algebra SYMM,verilog,0.03,0.03,0.001
Linear Algebra SYR2K,interpreter,0.168,0.167,0.005
Linear Algebra SYR2K,icarus-verilog,0.684,0.688,0.009
Linear Algebra SYR2K,verilog,0.044,0.044,0.001
Linear Algebra SYRK,interpreter,0.115,0.115,0.001
Linear Algebra SYRK,icarus-verilog,0.379,0.38,0.004
Linear Algebra SYRK,verilog,0.029,0.029,0.001
Linear Algebra TRISOLV,interpreter,0.022,0.021,0.001
Linear Algebra TRISOLV,icarus-verilog,0.038,0.043,0.007
Linear Algebra TRISOLV,verilog,0.011,0.011,0.0
Linear Algebra TRMM,interpreter,0.065,0.064,0.001
Linear Algebra TRMM,icarus-verilog,0.138,0.141,0.006
Linear Algebra TRMM,verilog,0.019,0.019,0.001
Linear Algebra Cholesky,interpreter,0.033,0.032,0.003
Linear Algebra Cholesky,icarus-verilog,0.105,0.107,0.007
Linear Algebra Gramschmidt,interpreter,0.172,0.172,0.002
Linear Algebra Gramschmidt,icarus-verilog,1.053,1.05,0.01
Linear Algebra Gramschmidt,verilog,0.067,0.067,0.001
LeNet,interpreter,1654.269,1568.57,169.45
LeNet,icarus-verilog,14369.562,14275.429,217.89
LeNet,verilog,542.374,542.205,1.676
